testId,variant,sex,ageMin,ageMax,minScore,maxScore,percentile,classification
test_pacer,Default,MALE,18.0,29.99,55.0,9999.0,90,Superior
test_pacer,Default,MALE,18.0,29.99,51.0,54.99,80,Excellent
test_pacer,Default,MALE,18.0,29.99,46.0,50.99,60,Above Average
test_pacer,Default,MALE,18.0,29.99,42.0,45.99,50,Average
test_pacer,Default,MALE,18.0,29.99,0.0,41.99,20,Needs Improvement
test_mile_run,Default,MALE,18.0,29.99,0.0,359.99,90,Superior
test_mile_run,Default,MALE,18.0,29.99,360.0,419.99,80,Excellent
test_mile_run,Default,MALE,18.0,29.99,420.0,479.99,60,Above Average
test_mile_run,Default,MALE,18.0,29.99,480.0,539.99,50,Average
test_mile_run,Default,MALE,18.0,29.99,540.0,9999.0,20,Needs Improvement
test_pushup,Default,MALE,18.0,29.99,40.0,9999.0,90,Superior
test_pushup,Default,MALE,18.0,29.99,30.0,39.99,80,Excellent
test_pushup,Default,MALE,18.0,29.99,25.0,29.99,60,Above Average
test_pushup,Default,MALE,18.0,29.99,18.0,24.99,50,Average
test_pushup,Default,MALE,18.0,29.99,12.0,17.99,40,Needs Improvement
test_pushup,Default,MALE,18.0,29.99,0.0,11.99,20,Poor
test_pushup,Default,FEMALE,18.0,29.99,35.0,9999.0,90,Superior
test_pushup,Default,FEMALE,18.0,29.99,27.0,34.99,80,Excellent
test_pushup,Default,FEMALE,18.0,29.99,21.0,26.99,60,Above Average
test_pushup,Default,FEMALE,18.0,29.99,15.0,20.99,50,Average
test_pushup,Default,FEMALE,18.0,29.99,10.0,14.99,40,Needs Improvement
test_pushup,Default,FEMALE,18.0,29.99,0.0,9.99,20,Poor
test_plank,Default,MALE,18.0,29.99,120.0,9999.0,80,Excellent
test_plank,Default,MALE,18.0,29.99,90.0,119.99,50,Average
test_plank,Default,MALE,18.0,29.99,0.0,89.99,20,Needs Improvement
test_plank,Default,FEMALE,18.0,29.99,90.0,9999.0,80,Excellent
test_plank,Default,FEMALE,18.0,29.99,60.0,89.99,50,Average
test_plank,Default,FEMALE,18.0,29.99,0.0,59.99,20,Needs Improvement
test_t_test,Default,MALE,18.0,29.99,0.0,9.49,90,Superior
test_t_test,Default,MALE,18.0,29.99,9.5,11.5,50,Average
test_t_test,Default,MALE,18.0,29.99,11.51,9999.0,20,Poor
test_t_test,Default,FEMALE,18.0,29.99,0.0,10.49,90,Superior
test_t_test,Default,FEMALE,18.0,29.99,10.5,12.5,50,Average
test_t_test,Default,FEMALE,18.0,29.99,12.51,9999.0,20,Poor
